ZEIT,PLR_ID,PLR_NAME,EW,BEZ_ID,SI_N,SI_V,DI_N,DI_V,SDI,SDI_N,SDI_V,KOM
202012,"04400835",Rüdesheimer Platz,10593,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04500936",Droysenstraße,5638,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04500937",Halensee,7683,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04500938",Hochmeisterplatz,7919,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04500939",Eisenzahnstraße,6496,"04",2,mittel,1,positiv,2+,21,"Status mittel , Dynamik positiv",gültig
202012,"04501040",Hindemithplatz,5998,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501041",George-Grosz-Platz,5597,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501042",Breitscheidplatz,3581,"04",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"04501043",Preußenpark,11048,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501044",Ludwigkirchplatz,5283,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501045",Schaperstraße,9334,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501146",Barstraße,4715,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501147",Leon-Jessel-Platz,5625,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501148",Brabanter Platz,4436,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501149",Nikolsburger Platz,9834,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501150",Wilhelmsaue,3071,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501151",Hildegardstraße,7572,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501152",Prager Platz,6913,"04",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"04501153",Babelsberger Straße,7489,"04",2,mittel,5,negativ,2-,25,"Status mittel , Dynamik negativ",gültig
202012,"05100101",Hakenfelde Nord,4079,"05",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"05100102",Am Forstacker,4390,"05",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"05100103",Mertensstraße,5873,"05",2,mittel,1,positiv,2+,21,"Status mittel , Dynamik positiv",gültig
202012,"05100104",Maselake,4830,"05",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"05100105",Amorbacher Weg,7608,"05",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"05100206",Griesingerstraße,3619,"05",3,niedrig,5,negativ,3-,35,"Status niedrig , Dynamik negativ",gültig
202012,"05100207",An der Tränke,2314,"05",1,hoch,3,stabil,1+/-,13,"Status hoch , Dynamik stabil",gültig
202012,"05100208",Im Spektefeld,10703,"05",4,sehr niedrig,3,stabil,4+/-,43,"Status sehr niedrig , Dynamik stabil",gültig
202012,"05100209",Westerwaldstraße,11547,"05",4,sehr niedrig,3,stabil,4+/-,43,"Status sehr niedrig , Dynamik stabil",gültig
202012,"05100210",Germersheimer Platz,7709,"05",3,niedrig,1,positiv,3+,31,"Status niedrig , Dynamik positiv",gültig
202012,"05100211",An der Kappe,6068,"05",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
202012,"05100312",Eckschanze,4025,"05",2,mittel,1,positiv,2+,21,"Status mittel , Dynamik positiv",gültig
202012,"05100313",Eiswerder,5756,"05",3,niedrig,1,positiv,3+,31,"Status niedrig , Dynamik positiv",gültig
202012,"05100314",Kurstraße,7335,"05",4,sehr niedrig,3,stabil,4+/-,43,"Status sehr niedrig , Dynamik stabil",gültig
202012,"05100315",Ackerstraße,6753,"05",3,niedrig,3,stabil,3+/-,33,"Status niedrig , Dynamik stabil",gültig
202012,"05100316",Carl-Schurz-Straße,10341,"05",2,mittel,3,stabil,2+/-,23,"Status mittel , Dynamik stabil",gültig
