PLR_NAME,PLR_ID,Violent Delinquency Overall,Domestic and Partner Violence,Youth Violence
Vogelviertel Süd,08401139,Mittel,Erhöht,Niedrig
Vogelviertel Nord,08401140,Mittel,Mittel,Mittel
Blumenviertel,08401241,Mittel,Niedrig,Mittel
Zittauer Straße,08401242,Mittel,Niedrig,Mittel
Alt-Rudow,08401243,Mittel,Mittel,Mittel
Waßmannsdorfer Chaussee,08401244,Mittel,Niedrig,Mittel
Frauenviertel,08401245,Mittel,Mittel,Mittel
Waltersdorfer Chaussee Ost,08401246,Mittel,Mittel,Mittel
Alt-Treptow,09100101,Mittel,Mittel,Mittel
Plänterwald West,09100202,Mittel,Mittel,Niedrig
Plänterwald Ost,09100203,Mittel,Mittel,Mittel
Baumschulenweg West,09100304,Mittel,Mittel,Mittel
Baumschulenweg Ost,09100305,Mittel,Mittel,Erhöht
Späthsfelde,09100306,Mittel,Mittel,Mittel
Johannisthal West,09100407,Mittel,Niedrig,Mittel
Johannisthal Ost,09100408,Mittel,Mittel,Mittel
Landschaftspark Adlershof,09100409,Mittel,Mittel,Mittel
Helmholtz-Kiez,09200510,Mittel,Mittel,Mittel
Griechischer Park,09200511,Mittel,Mittel,Mittel
Wuhlheide,09200512,Mittel,Mittel,Erhöht
Bahnhof Schöneweide,09200613,Mittel,Mittel,Mittel
Oberspree,09200614,Mittel,Niedrig,Niedrig
Wista,09200715,Mittel,Mittel,Mittel
Dörpfeldstraße West,09200716,Mittel,Mittel,Mittel
Dörpfeldstraße Ost,09200717,Mittel,Mittel,Niedrig
Spindlersfeld,09200818,Mittel,Mittel,Niedrig
Köllnische Vorstadt,09200819,Mittel,Erhöht,Erhöht
Dorf Altglienicke,09300920,Niedrig,Mittel,Niedrig
Preußen Siedlung,09300921,Niedrig,Niedrig,Niedrig
Kosmos Viertel,09300922,Mittel,Erhöht,Mittel
Kölner Viertel,09300923,Mittel,Erhöht,Mittel
Falkenberg,09301024,Mittel,Niedrig,Mittel
Alt-Bohnsdorf,09301025,Mittel,Mittel,Mittel
Grünau,09301126,Mittel,Niedrig,Niedrig
Karolinenhof,09301227,Niedrig,Niedrig,Niedrig
Schmöckwitz/Rauchfangswerder,09301228,Niedrig,Niedrig,Niedrig
Kietzer Feld/Nachtheide,09401329,Niedrig,Niedrig,Niedrig
Wendenschloß,09401330,Niedrig,Niedrig,Niedrig
Allende I,09401431,Niedrig,Niedrig,Mittel
Siedlung Kämmereiheide,09401432,Mittel,Mittel,Mittel
Allende II,09401433,Mittel,Mittel,Mittel
Altstadt Köpenick,09401534,Mittel,Mittel,Mittel
Müggelheim,09401635,Niedrig,Niedrig,Niedrig
Hirschgarten,09501736,Mittel,Niedrig,Niedrig
