PLR_NAME,PLR_ID,overall_n,overall_v,innerfam_partner_n,innerfam_partner_v,youth_n,youth_v
Afrikanische Straße,01400937,2,Mittel,3,Erhöht,2,Mittel
Kameruner Straße,01400938,2,Mittel,2,Mittel,2,Mittel
Glasgower Straße,01400939,2,Mittel,3,Erhöht,3,Erhöht
Schillerpark,01400940,2,Mittel,3,Erhöht,2,Mittel
Londoner Straße,01400941,1,Niedrig,2,Mittel,1,Niedrig
Westliche Müllerstraße,01400942,3,Erhöht,2,Mittel,4,Stark erhöht
Antonstraße,01401043,2,Mittel,2,Mittel,2,Mittel
Uferstraße,01401044,2,Mittel,4,Stark erhöht,2,Mittel
Schwedenstraße,01401045,2,Mittel,4,Stark erhöht,3,Erhöht
Nordufer,01401046,2,Mittel,2,Mittel,2,Mittel
Sparrplatz,01401047,3,Erhöht,3,Erhöht,3,Erhöht
Leopoldplatz,01401048,3,Erhöht,4,Stark erhöht,2,Mittel
Schulstraße,01401049,2,Mittel,4,Stark erhöht,2,Mittel
Askanischer Platz,02100101,2,Mittel,2,Mittel,2,Mittel
Mehringplatz,02100102,2,Mittel,3,Erhöht,2,Mittel
Am Berlin Museum,02100103,2,Mittel,2,Mittel,1,Niedrig
Moritzplatz,02100104,2,Mittel,2,Mittel,2,Mittel
Prinzenstraße,02100105,2,Mittel,2,Mittel,2,Mittel
Wassertorplatz,02100106,4,Stark erhöht,3,Erhöht,4,Stark erhöht
Gleisdreieck,02200207,4,Stark erhöht,2,Mittel,4,Stark erhöht
Rathaus Yorckstraße,02200208,3,Erhöht,2,Mittel,4,Stark erhöht
Viktoriapark,02200209,2,Mittel,1,Niedrig,2,Mittel
Urbanstraße,02200210,2,Mittel,2,Mittel,2,Mittel
Chamissokiez,02200211,2,Mittel,1,Niedrig,1,Niedrig
Graefekiez Süd,02200212,2,Mittel,2,Mittel,2,Mittel
Graefekiez Nord,02200213,3,Erhöht,2,Mittel,2,Mittel
Oranienplatz,02300314,3,Erhöht,2,Mittel,3,Erhöht
Lausitzer Platz,02300315,2,Mittel,2,Mittel,2,Mittel
Köpenicker Straße,02300316,4,Stark erhöht,2,Mittel,4,Stark erhöht
Reichenberger Straße West,02300417,2,Mittel,1,Niedrig,2,Mittel
Reichenberger Straße Ost,02300418,3,Erhöht,2,Mittel,2,Mittel
Wrangelkiez,02300419,3,Erhöht,1,Niedrig,2,Mittel
Barnimkiez,02400520,2,Mittel,2,Mittel,3,Erhöht
Friedenstraße,02400521,2,Mittel,2,Mittel,2,Mittel
Richard-Sorge-Viertel,02400522,2,Mittel,1,Niedrig,2,Mittel
Andreasviertel,02400623,2,Mittel,2,Mittel,2,Mittel
Weberwiese,02400624,2,Mittel,1,Niedrig,2,Mittel
Wriezener Bahnhof,02400625,4,Stark erhöht,4,Stark erhöht,4,Stark erhöht
Hausburgviertel,02500726,2,Mittel,2,Mittel,1,Niedrig
Forckenbeckplatz,02500727,2,Mittel,2,Mittel,2,Mittel
Samariterviertel,02500728,2,Mittel,1,Niedrig,1,Niedrig
Pettenkofer Straße,02500729,2,Mittel,2,Mittel,2,Mittel
Niederbarnimstraße,02500830,2,Mittel,1,Niedrig,2,Mittel
Wismarplatz,02500831,2,Mittel,1,Niedrig,1,Niedrig
Traveplatz,02500832,2,Mittel,2,Mittel,2,Mittel
Boxhagener Platz,02500833,2,Mittel,1,Niedrig,1,Niedrig
Revaler Straße,02500834,2,Mittel,1,Niedrig,2,Mittel
Stralauer Kiez,02500835,3,Erhöht,2,Mittel,3,Erhöht
Stralauer Halbinsel,02500836,1,Niedrig,1,Niedrig,1,Niedrig
Bucher Forst,03100101,2,Mittel,2,Mittel,2,Mittel
