PLR_ID,PLR_NAME,EW,KI_08,KI_14,KI_15
08030831,Gropiusstadt Ost,17754,60.76,1.62,33.52
08040932,Goldhähnchenweg,2834,32.25,1.9,36.95
08040933,Vogelviertel Süd,4103,5.95,1.95,40.93
08040934,Vogelviertel Nord,2661,7.93,1.95,42.72
08041035,Blumenviertel,8264,0.03,1.99,44.61
08041036,Zittauer Straße,6844,6.51,2.06,44.17
08041037,Alt-Rudow,9997,5.31,1.96,41.01
08041038,Waßmannsdorfer Chaussee,7118,0.4,2,44.18
08041039,Frauenviertel,3776,12.73,1.54,32.82
08041040,Waltersdorfer Chaussee Ost,7951,29.43,1.82,38.5
09010101,Elsenstraße,13104,16.81,1.58,35.71
09010201,Am Treptower Park Süd,4375,21.24,1.87,39.72
09010202,Köpenicker Landstraße,6924,29.98,1.95,34.99
09010301,Baumschulenstraße,15796,10.11,1.91,36.83
09010302,Späthsfelde,3098,6.06,1.76,39.22
09010401,Johannisthal West,8480,20.7,1.95,37.87
09010402,Johannisthal Ost,11480,25.42,1.79,39.28
09020501,Oberschöneweide West,7535,11.08,1.55,34.41
09020502,Oberschöneweide Ost,16103,34.09,1.78,35.54
09020601,Schnellerstraße,9424,15.01,1.64,35.21
09020602,Oberspree,3580,42.14,1.92,36.72
09020701,Adlershof West,3059,24.57,1.17,30.29
09020702,Adlershof Ost,17151,18.27,1.85,37.87
09020801,Spindlersfeld,3061,53.56,2.09,39.31
09020802,Köllnische Vorstadt,8292,30.05,1.83,35.45
09030901,Dorf Altglienicke,14458,11.96,1.9,41.53
09030902,Wohngebiet II,5660,76.27,1.69,31.44
09030903,Kölner Viertel,8169,53.3,1.54,36.16
09031001,Bohnsdorf,13167,12.26,2,41.52
09031101,Grünau,7217,5.69,1.92,41.43
09031201,Karolinenhof,1871,0,2.22,51.45
09031202,Schmöckwitz/Rauchfangswerder,2571,0,2.19,50.93
09041301,Kietzer Feld/Nachtheide,14506,22.89,2.15,40.34
09041302,Wendenschloß,1911,0.31,2.2,52.9
09041401,Allende I,4802,35.06,1.8,40.93
09041402,Allende II,1569,0,1.98,39.63
09041501,Altstadt Kietz,7980,50.87,1.79,35.69
09041601,Müggelheim,6867,0,2.07,46.67
