PLR_ID,PLR_NAME,electricity_mwh_2022,electricity_mwh_2021,electricity_mwh_2020,district_heating_mwh_2022,district_heating_mwh_2021,district_heating_mwh_2020,gas_mwh_2022,gas_mwh_2021,gas_mwh_2020
01400938,Kameruner Straße,55813.551,44594.481,66541.951,35045.603,38642.321,35449.194,131975.368,166046.731,153219.937
01400939,Glasgower Straße,9574.963,9890.929,11916.114,7490.844,5794.817,4272.724,23095.094999999998,29426.867000000002,26532.245
01400940,Schillerpark,11955.011,11641.467,11983.794,26146.825,29184.033,26034.041,2547.084,3029.9809999999998,2826.099
01400941,Londoner Straße,6005.383,6249.499,6220.121,6131.4349999999995,6935.9220000000005,3144.6670000000004,10217.964,15071.857,12673.284
01400942,Westliche Müllerstraße,15653.289,15268.188,15079.213,37948.784,43570.817,38334.842,16100.007,19287.016,16921.207
01401043,Antonstraße,15054.954,14635.734,15813.814,22738.765,25954.519,23935.797,7850.575,9142.494,8445.809000000001
01401044,Uferstraße,13936.623,14032.963,14279.625,22880.907,25939.787,23710.533,20693.085,24530.868,21539.102
01401045,Schwedenstraße,9080.109,9415.55,9408.161,0.0,0.0,0.0,26110.207,29256.428,26205.392999999996
01401046,Nordufer,11486.383,12117.539,11867.269,17253.387,19551.811,17196.508,19603.417999999998,22465.517,20920.231
01401047,Sparrplatz,11599.264,11547.13,11948.033,21694.6065,24329.059,19681.264,13758.734,15908.821,14495.132
01401048,Leopoldplatz,21034.897,20558.836,21085.644,32674.678,37405.822,31842.295,15813.799,18004.246,16060.073
01401049,Schulstraße,12491.588,12774.136999999999,13130.108,32641.171,36130.18,33071.074,5856.485000000001,7538.5109999999995,6959.063
02100101,Askanischer Platz,32706.391,30522.722999999998,31416.011,49360.793,59004.945,53060.548,12192.329000000002,16742.625,17374.119
02100102,Mehringplatz,31193.908000000003,31511.111,34047.966,50756.336,59505.501,51534.223,5886.509999999999,8459.389000000001,6957.030000000001
02100103,Am Berlin Museum,40113.90700000001,39189.934,38432.148,31294.655999999995,35712.601,34218.114,5058.934,8558.304,7478.016
02100104,Moritzplatz,17305.400999999998,15543.889000000001,15750.937,18387.073,19451.262,16402.402,13577.896,14169.59,12771.793
02100105,Prinzenstraße,13202.175,13295.126,13351.046,14289.16,16571.059,15105.122000000001,18816.136,20899.338,18799.021
02100106,Wassertorplatz,8841.786,7814.601,8220.981,0.0,0.0,0.0,34551.705,38273.992,33220.311
02200207,Gleisdreieck,12501.727,11165.014,12431.132,9295.669,9916.802,14132.867000000002,2596.304,3010.957,2775.136
02200208,Rathaus Yorckstraße,13259.804,13192.894,13479.055,10469.192,12044.82,9342.381,24294.664,30786.909,27136.345
02200209,Viktoriapark,17774.278,18121.103,18738.177,0.0,0.0,0.0,61739.575,73679.307,62628.954
02200210,Urbanstraße,22623.674,23004.909,23945.263,0.0,0.0,0.0,72918.628,87695.255,74520.09999999999
02200211,Chamissokiez,28995.091,29388.795,30032.212,0.0,0.0,0.0,91443.166,123405.528,105720.843
02200212,Graefekiez Süd,14501.169,14845.235,15335.917000000001,0.0,0.0,0.0,31264.256999999998,36564.751,31803.352
02200213,Graefekiez Nord,28679.059999999998,29195.349000000002,29341.261000000002,14209.411,16055.107,13872.695,43955.592000000004,51856.469,46908.328
02300314,Oranienplatz,16623.04,16745.099000000002,18468.931,7436.0289999999995,8574.156,7486.48,42930.372,47381.203,48534.284
02300315,Lausitzer Platz,14987.827,14701.383,15327.541,13088.712,14796.962,13338.31,31411.902,35507.635,32098.318
02300316,Köpenicker Straße,14726.172,14851.171999999999,15250.804,10672.287,11290.854,11166.267,25557.517,27407.458,22712.23
02300417,Reichenberger Straße West,15473.577000000001,15508.115000000002,16318.766,6342.844,6586.235,5416.2210000000005,43567.998999999996,50234.994,44382.358
02300418,Reichenberger Straße Ost,15388.601,15004.419,14725.978000000001,2439.524,2552.96,2431.817,37221.195,46847.517,42226.303
02300419,Wrangelkiez,23044.453,23607.093,23223.248,14109.189,15160.234,12787.464,49046.111,57542.128,52161.369999999995
02400520,Barnimkiez,12282.865,11499.938,11925.5,18135.711,20448.613,17358.307,1858.935,2203.357,1889.027
02400521,Friedenstraße,15173.031,14235.643999999998,14255.181,32196.645,36604.789000000004,29319.935999999998,12202.44,13939.906,12520.859
02400522,Richard-Sorge-Viertel,14613.789,14427.111,14643.307,28171.568,32887.915,28401.674,25074.275,27674.319,26470.532
02400623,Andreasviertel,26587.234,26668.653,26603.578999999998,48913.718,55272.12,46744.555,4236.867,6360.214000000001,6263.74
02400624,Weberwiese,18176.331,19393.955,19926.349,38482.485,45015.242,39911.721,22355.071,25664.721,23205.502
02400625,Wriezener Bahnhof,25156.629,19657.711,19422.809,16089.196,19305.083,12890.991,1950.441,3233.9790000000003,2359.32
02500726,Hausburgviertel,10334.543,10602.314,10391.432,7468.969,8637.583,7601.719999999999,36769.732,42834.427,38454.95
02500727,Forckenbeckplatz,10224.893,9769.434,9476.684000000001,18302.71,21366.697,19053.235,14430.955,16543.129,14792.055
02500728,Samariterviertel,15439.903,15123.719000000001,15330.605,21196.739,24212.425,20654.509000000002,31888.019,37172.668,33510.873
02500729,Pettenkofer Straße,12340.948,12782.741,13874.553,17244.143,20275.898999999998,17664.88,8820.381,10678.118,9695.101
