,,,,Ist-Versorgung,,,,,,Ausbauprognose 2024,,,,,
,,,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,
"Bezirk
Nummer","Bezirk
Name","LOR
Planungsräume
Nummer","LOR
Planungsräume
Name",Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%)
02,Friedrichshain-Kreuzberg,02500836,Stralauer Halbinsel, 2 048 , 87.9 , -   , 1 322 , 56.8 , -   , 2 048 , 87.9 , -   , 1 322 , 56.8 , -   
03,Pankow,03100101,Bucher Forst, 1 607 , 77.5 , -   , 542 , 26.1 , -   , 1 607 , 77.5 , -   , 542 , 26.1 , -   
03,Pankow,03100102,Klinikum Buch, 1 078 , 71.8 , -   , 624 , 41.6 , -   , 1 078 , 71.8 , -   , 624 , 41.6 , -   
03,Pankow,03100103,Karower Chaussee, 4 312 , 96.5 , -   , 1 971 , 44.1 , -   , 4 312 , 96.5 , -   , 1 971 , 44.1 , -   
03,Pankow,03200204,Blankenfelde, 23 , 2.0 , -   , 1 , 0.1 , -   , 23 , 2.0 , -   , 1 , 0.1 , -   
03,Pankow,03200205,Uhlandstraße, 4 070 , 88.6 , -   , 3 135 , 68.2 , -   , 4 070 , 88.6 , -   , 3 135 , 68.2 , -   
03,Pankow,03200206,Pastor-Niemöller-Platz, 3 416 , 94.7 , -   , 1 796 , 49.8 , -   , 3 416 , 94.7 , -   , 1 796 , 49.8 , -   
03,Pankow,03200207,Herthaplatz, 5 277 , 86.1 , -   , 528 , 8.6 , -   , 5 277 , 86.1 , -   , 528 , 8.6 , -   
03,Pankow,03200308,Nisbléstraße, 2 058 , 81.4 , -   , 72 , 2.8 , -   , 2 058 , 81.4 , -   , 72 , 2.8 , -   
03,Pankow,03200309,Eddastraße, 1 626 , 61.6 , -   , 74 , 2.8 , -   , 1 626 , 61.6 , -   , 74 , 2.8 , -   
03,Pankow,03200310,Krugpfuhl, 2 912 , 75.4 , -   , 2 , 0.1 , -   , 2 912 , 75.4 , -   , 2 , 0.1 , -   
03,Pankow,03300411,Karow Nord, 4 590 , 83.5 , -   , 62 , 1.1 , -   , 4 590 , 83.5 , -   , 62 , 1.1 , -   
