PLR_ID,PLR_NAME,wohmi_fl,nat_pers,genossen,jur_pers,sozvermiet,stwbg,jp_ohn_swg
09300921,Preußen Siedlung,555602.0,92.0,0.84,6.0,6.26,3.42,1.74
09300922,Kosmos Viertel,201916.0,0.0,35.89,97.0,100.0,61.11,0.0
09300923,Kölner Viertel,941777.0,71.0,0.0,27.0,23.06,21.06,5.94
09301024,Falkenberg,569680.0,51.0,24.0,48.0,31.24,6.24,17.76
09301025,Alt-Bohnsdorf,3105408.0,78.0,5.06,22.0,5.94,0.88,16.06
09301126,Grünau,928111.0,74.0,8.74,23.0,12.35,1.61,12.65
09301227,Karolinenhof,590292.0,99.0,0.0,0.0,1.0,0.0,0.0
09301228,Schmöckwitz/Rauchfangswerder,1026857.0,89.0,0.0,2.0,9.0,0.0,2.0
09401329,Kietzer Feld/Nachtheide,1649624.0,69.0,11.1,30.0,18.7,6.6,12.3
09401330,Wendenschloß,399223.0,95.0,0.0,3.0,1.21,0.21,2.79
09401431,Allende I,210958.0,33.0,36.3,66.0,59.74,22.44,7.26
09401432,Siedlung Kämmereiheide,295191.0,70.0,0.0,15.0,15.0,0.0,15.0
09401433,Allende II,131550.0,0.0,36.1,95.0,82.9,41.8,17.1
09401534,Altstadt Köpenick,297755.0,48.0,1.0,50.0,29.0,27.0,22.0
09401635,Müggelheim,2058293.0,95.0,0.0,4.0,1.48,0.48,3.52
09501736,Hirschgarten,502272.0,53.0,20.24,44.0,42.04,19.8,3.96
09501737,Alt-Friedrichshagen,1250205.0,70.0,9.86,29.0,21.3,10.44,8.7
09501838,Rahnsdorf,2891758.0,93.0,0.0,6.0,3.94,2.94,3.06
09501939,Bahnhofstraße,341183.0,53.0,27.52,43.0,37.83,7.31,8.17
09501940,Güterbahnhof Köpenick,175461.0,30.0,25.53,69.0,34.12,7.59,35.88
09501941,Friedrichshagener Straße,267042.0,53.0,9.4,47.0,9.4,0.0,37.6
09502042,Mittelheide,705193.0,75.0,0.42,14.0,12.26,0.84,12.74
09502043,Dammheide,1228668.0,74.0,15.0,25.0,21.0,6.0,4.0
10100101,Marzahn West,253936.0,30.0,0.0,68.0,65.92,63.92,4.08
10100102,Rosenbecker Straße,166625.0,43.0,0.0,57.0,57.0,57.0,0.0
10100103,Wittenberger Straße,199510.0,0.0,43.0,100.0,81.0,38.0,19.0
10100104,Golliner Straße,170833.0,2.0,31.36,98.0,82.32,50.96,15.68
10100205,Gewerbegebiet Bitterfelder Straße,257500.0,8.0,0.0,77.0,16.0,0.0,77.0
10100206,Wuhletalstraße,251399.0,8.0,51.52,92.0,68.08,16.56,23.92
10100207,Ahrensfelder Berge,220330.0,24.0,35.72,76.0,59.28,23.56,16.72
10100208,Bürgerpark,237555.0,12.0,48.4,88.0,75.68,27.28,12.32
10100209,Lea-Grundig-Straße,343986.0,51.0,21.07,49.0,28.91,7.84,20.09
10100210,Marzahner Promenade,173138.0,11.0,42.72,89.0,88.11,45.39,0.89
10100311,Marzahner Chaussee,552863.0,76.0,0.0,18.0,6.8,1.8,16.2
10100312,Springpfuhl,289175.0,6.0,31.96,94.0,65.8,33.84,28.2
10100313,Alt-Marzahn,552897.0,88.0,3.85,11.0,6.72,1.87,5.28
10100314,Auersbergstraße,177366.0,60.0,29.26,38.0,37.34,6.08,2.66
10100315,Bärenstein,248412.0,38.0,38.43,61.0,48.58,9.15,13.42
10100316,Landsberger Tor,167652.0,37.0,2.52,63.0,22.68,20.16,40.32
10200417,Zossener Straße,215976.0,15.0,19.09,83.0,40.18,19.09,44.82
10200418,Kyritzer Straße,236728.0,1.0,59.4,99.0,98.01,38.61,0.99
10200419,Havelländer Ring,134199.0,0.0,0.0,100.0,17.0,17.0,83.0
10200420,Gut Hellersdorf,288001.0,5.0,0.0,95.0,89.3,89.3,5.7
10200421,Helle Mitte,52546.0,43.0,0.0,52.0,5.0,0.0,52.0
10200422,Hellersdorfer Promenade,210495.0,0.0,0.0,98.0,30.42,28.42,69.58
10200423,Böhlener Straße,178581.0,29.0,0.0,69.0,5.45,3.45,65.55
10200524,Adele-Sandrock-Straße,346666.0,3.0,32.3,95.0,70.4,36.1,26.6
10200525,Schleipfuhl,138345.0,6.0,0.0,94.0,94.0,94.0,0.0
10200526,Boulevard Kastanienallee,192223.0,12.0,12.16,76.0,25.16,0.0,63.84
10200627,Am Kienberg,110527.0,67.0,20.79,33.0,24.09,3.3,8.91
10200628,Neue Grottkauer Straße,158918.0,0.0,16.0,100.0,100.0,84.0,0.0
10200629,Teterower Ring,295680.0,71.0,17.36,28.0,24.24,5.88,4.76
10200630,Cecilienplatz,196752.0,3.0,11.4,95.0,96.05,82.65,0.94999
10300731,Oberfeldstraße,1698400.0,96.0,0.0,1.0,3.0,0.0,1.0
10300732,Buckower Ring,606978.0,59.0,4.44,37.0,22.02,12.58,19.98
10300733,Alt-Biesdorf,768655.0,79.0,0.0,8.0,16.64,4.64,3.36
10300734,Biesdorf Süd,2649656.0,85.0,0.0,2.0,13.0,0.0,2.0
10400835,Kaulsdorf Nord,1811585.0,91.0,0.12,6.0,3.9,0.78,5.1
10400836,Alt-Kaulsdorf,742340.0,94.0,0.55,5.0,3.05,1.5,2.95
10400837,Kaulsdorf Süd,2295847.0,97.0,0.0,2.0,2.06,0.06,1.94
10400938,Mahlsdorf Nord,2731306.0,92.0,0.0,4.0,5.6,2.6,1.4
10400939,Alt-Mahlsdorf,1077980.0,94.0,0.1,5.0,2.6,1.5,3.4
10400940,Elsensee,1742593.0,96.0,0.12,2.0,2.16,0.04,1.84
10400941,Pilgramer Straße,2616655.0,97.0,0.0,2.0,1.0,0.0,2.0
11100101,Dörfer Malchow-Wartenberg,806238.0,88.0,0.0,9.0,6.87,3.87,5.13
11100102,Dorf Falkenberg,505512.0,46.0,0.0,49.0,26.07,21.07,27.93
11100203,Falkenberg Ost,204046.0,6.0,8.46,94.0,60.16,51.7,33.84
11100204,Falkenberg West,313021.0,5.0,8.33,49.0,83.71,30.38,10.29
11100205,Wartenberg Süd,196121.0,31.0,0.0,63.0,69.0,63.0,0.0
11100206,Wartenberg Nord,226246.0,23.0,0.0,77.0,76.23,76.23,0.76999
11100307,Zingster Straße Ost,221320.0,4.0,37.4,85.0,77.3,28.9,18.7
