Planungsraum-ID,Planungsraumname,Anzahl der Mehrfachbelastungen,Einwohnerdichte-Kategorie,Luftbelastungs-Kategorie,Lärmbelastungs-Kategorie,Thermische Belastungs-Kategorie,Grünflächenversorgungs-Kategorie,Soziale Benachteiligungs-Kategorie,Bezirksname,S-Bahn-Ring
05200632,Tiefwerder,2,1,1,3,2,1,3,05 - Spandau,1
05200633,Graetschelsteig,1,1,2,3,2,1,2,05 - Spandau,1
05200634,Börnicker Straße,0,1,1,2,1,1,2,05 - Spandau,1
05300735,Haveleck,0,1,1,1,2,1,2,05 - Spandau,1
05300736,Zitadellenweg,0,1,2,1,2,1,2,05 - Spandau,1
05300737,Gartenfelder Straße,1,2,2,2,2,1,3,05 - Spandau,1
05300838,Gartenfeld,1,1,2,2,2,3,0,05 - Spandau,1
05300839,Rohrdamm,0,1,1,1,1,1,2,05 - Spandau,1
05300840,Nonnendammallee,3,1,2,3,3,3,2,05 - Spandau,1
05300841,Siemensdamm,3,2,3,2,3,3,2,05 - Spandau,1
05400942,Alt-Gatow,0,1,1,1,1,1,2,05 - Spandau,1
05400943,Jägerallee,0,1,1,1,2,1,1,05 - Spandau,1
05400944,Kladower Damm,0,1,1,1,1,1,1,05 - Spandau,1
05400945,Kafkastraße,0,1,1,1,1,1,1,05 - Spandau,1
06100101,Fichtenberg,0,1,2,2,2,1,1,06 - Steglitz-Zehlendorf,1
06100102,Schloßstraße,2,2,3,2,2,3,2,06 - Steglitz-Zehlendorf,1
06100103,Markelstraße,2,2,3,2,2,3,2,06 - Steglitz-Zehlendorf,1
06100204,Munsterdamm,0,1,2,2,2,1,2,06 - Steglitz-Zehlendorf,1
06100205,Südende,0,2,2,2,2,2,2,06 - Steglitz-Zehlendorf,1
06100206,Stadtpark,0,2,2,2,2,1,2,06 - Steglitz-Zehlendorf,1
06100207,01 - Mittelstraße,0,2,2,2,2,2,2,06 - Steglitz-Zehlendorf,1
06100208,Bergstraße,1,2,3,2,2,2,2,06 - Steglitz-Zehlendorf,1
06100209,Feuerbachstraße,2,2,3,2,2,3,2,06 - Steglitz-Zehlendorf,1
06100210,Bismarckstraße,2,3,3,2,2,3,2,06 - Steglitz-Zehlendorf,1
06200311,Alt-Lankwitz,0,1,2,2,2,2,2,06 - Steglitz-Zehlendorf,1
06200312,Komponistenviertel Lankwitz,0,1,2,2,1,1,2,06 - Steglitz-Zehlendorf,1
06200313,Lankwitz Kirche,0,2,2,2,2,1,2,06 - Steglitz-Zehlendorf,1
06200314,Kaiser-Wilhelm-Straße,0,1,2,2,2,1,2,06 - Steglitz-Zehlendorf,1
06200315,Gallwitzallee,0,1,2,1,2,1,2,06 - Steglitz-Zehlendorf,1
06200316,Belßstraße,0,1,2,2,2,2,2,06 - Steglitz-Zehlendorf,1
06200317,Lankwitz Süd,0,1,2,2,1,1,2,06 - Steglitz-Zehlendorf,1
06200418,Landweg,0,1,1,2,2,0,0,06 - Steglitz-Zehlendorf,1
06200419,Thermometersiedlung,1,2,2,2,2,3,2,06 - Steglitz-Zehlendorf,1
06200420,Lichterfelde Süd,0,1,1,2,2,1,2,06 - Steglitz-Zehlendorf,1
06200421,Königsberger Straße,1,1,2,3,2,1,2,06 - Steglitz-Zehlendorf,1
06200422,Oberhofer Platz,0,1,2,2,2,1,2,06 - Steglitz-Zehlendorf,1
06200423,Schütte-Lanz-Straße,0,1,2,1,2,1,2,06 - Steglitz-Zehlendorf,1
06300524,Berlepschstraße,0,1,1,2,2,1,2,06 - Steglitz-Zehlendorf,1
06300525,Zehlendorf Süd,0,1,1,1,2,1,2,06 - Steglitz-Zehlendorf,1
06300526,Zehlendorf 01 - Mitte,1,1,2,3,2,1,2,06 - Steglitz-Zehlendorf,1
06300527,Sundgauer Straße,0,1,2,2,2,1,2,06 - Steglitz-Zehlendorf,1
06300528,Teltower Damm,0,1,2,1,1,1,1,06 - Steglitz-Zehlendorf,1
06300629,Botanischer Garten,1,1,2,3,2,2,2,06 - Steglitz-Zehlendorf,1
06300630,Hindenburgdamm,0,1,2,2,2,1,2,06 - Steglitz-Zehlendorf,1
06300631,Goerzwerke,1,1,2,3,2,1,1,06 - Steglitz-Zehlendorf,1
06300632,Schweizer Viertel,0,1,2,1,2,1,1,06 - Steglitz-Zehlendorf,1
06300633,Augustaplatz,0,1,2,2,2,1,2,06 - Steglitz-Zehlendorf,1
06300634,Lichterfelde West,0,1,2,2,1,1,1,06 - Steglitz-Zehlendorf,1
06400735,Wannsee,0,1,1,2,1,1,1,06 - Steglitz-Zehlendorf,1
06400736,Düppel,0,1,1,2,2,1,1,06 - Steglitz-Zehlendorf,1
06400737,Nikolassee,1,1,1,3,1,1,1,06 - Steglitz-Zehlendorf,1
06400838,Krumme Lanke,0,1,1,2,1,1,1,06 - Steglitz-Zehlendorf,1
06400839,Fischerhüttenstraße,0,1,2,2,1,1,1,06 - Steglitz-Zehlendorf,1
06400840,Fischtal,0,1,2,2,1,1,1,06 - Steglitz-Zehlendorf,1
06400841,Zehlendorf Eiche,0,1,2,2,2,1,2,06 - Steglitz-Zehlendorf,1
06400842,Hüttenweg,0,1,1,2,1,1,1,06 - Steglitz-Zehlendorf,1
06400843,Thielallee,0,1,2,2,2,1,1,06 - Steglitz-Zehlendorf,1
06400844,Dahlem,0,1,1,2,1,1,1,06 - Steglitz-Zehlendorf,1
07100101,Wittenbergplatz,3,2,3,2,3,3,2,07 - Tempelhof-Schöneberg,1
07100102,Kalckreuthstraße,2,2,3,1,2,3,2,07 - Tempelhof-Schöneberg,1
07100103,Frobenstraße,4,3,3,2,3,3,3,07 - Tempelhof-Schöneberg,1
07100204,Barbarossaplatz,2,3,3,1,2,3,2,07 - Tempelhof-Schöneberg,1
07100205,Alvenslebenstraße,3,2,3,3,2,2,3,07 - Tempelhof-Schöneberg,1
07100206,Großgörschenstraße,0,2,2,2,2,2,2,07 - Tempelhof-Schöneberg,1
07200307,Bayerischer Platz,2,3,3,1,2,3,2,07 - Tempelhof-Schöneberg,1
07200308,Volkspark (Rudolph-Wilde-Park),1,2,3,2,2,2,2,07 - Tempelhof-Schöneberg,1
07200409,Belziger Straße,3,2,3,1,3,3,2,07 - Tempelhof-Schöneberg,1
07200410,Feurigstraße,4,3,3,2,3,3,3,07 - Tempelhof-Schöneberg,1
07200411,Julius-Leber-Brücke,3,3,3,2,3,3,2,07 - Tempelhof-Schöneberg,1
07200412,Schöneberger Linse,3,1,2,3,3,3,2,07 - Tempelhof-Schöneberg,1
07200413,Cheruskerstraße,1,1,2,1,3,2,2,07 - Tempelhof-Schöneberg,1
07200414,Hohenfriedbergstraße,0,2,2,2,2,2,2,07 - Tempelhof-Schöneberg,1
07300515,Taunusstraße,2,2,3,2,2,3,2,07 - Tempelhof-Schöneberg,1
07300516,Odenwaldstraße,2,2,3,1,2,3,2,07 - Tempelhof-Schöneberg,1
07300517,Perelsplatz,2,2,3,2,2,3,2,07 - Tempelhof-Schöneberg,1
07300618,Ceciliengärten,2,2,3,2,2,3,2,07 - Tempelhof-Schöneberg,1
07300619,Grazer Platz,1,1,2,2,2,3,2,07 - Tempelhof-Schöneberg,1
07400720,Gontermannstraße,0,2,2,2,2,2,2,07 - Tempelhof-Schöneberg,1
07400721,Paradestraße,2,1,1,3,3,1,2,07 - Tempelhof-Schöneberg,1
07400822,Lindenhofsiedlung,1,1,2,2,3,2,2,07 - Tempelhof-Schöneberg,1
07400823,Wittekindstraße,2,2,3,2,2,3,2,07 - Tempelhof-Schöneberg,1
