gisid,kategorie,bez_name,bez_id,pgr_name,pgr_id,bzr_name,bzr_id,plr_name,plr_id
"03601141",1 - Niedrig,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Nordwest,"036011",Arnimplatz,"03601141"
"03601142",1 - Niedrig,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Nordwest,"036011",Falkplatz,"03601142"
"03601243",2 - Mittel,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Nord,"036012",Rodenbergstraße,"03601243"
"03601244",1 - Niedrig,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Nord,"036012",Humannplatz,"03601244"
"03601245",1 - Niedrig,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Nord,"036012",Ostseestraße,"03601245"
"03601346",1 - Niedrig,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Helmholtzpl.,"036013",Gethsemanekirche,"03601346"
"03601347",1 - Niedrig,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Helmholtzpl.,"036013",Helmholtzplatz,"03601347"
"03601348",2 - Mittel,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Helmholtzpl.,"036013",Senefelderstraße,"03601348"
"03601449",2 - Mittel,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Ost,"036014",Michelangelostraße,"03601449"
"03601450",3 - Erhöht,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Ost,"036014",Volkspark Prenzlauer Berg,"03601450"
"03601451",1 - Niedrig,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Ost,"036014",Anton-Saefkow-Park,"03601451"
"03601452",2 - Mittel,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Ost,"036014",Velodrom,"03601452"
"03601453",1 - Niedrig,Pankow,"03",Nördlicher Prenzlauer Berg,"0360",Prenzlauer Berg Ost,"036014",Alter Schlachthof,"03601453"
"03701554",1 - Niedrig,Pankow,"03",Südl. Prenzl. Berg,"0370",Prenzl. Berg Südwest,"037015",Teutoburger Platz,"03701554"
"03701555",1 - Niedrig,Pankow,"03",Südl. Prenzl. Berg,"0370",Prenzl. Berg Südwest,"037015",Sredzkistraße,"03701555"
"03701556",1 - Niedrig,Pankow,"03",Südl. Prenzl. Berg,"0370",Prenzl. Berg Südwest,"037015",Kollwitzplatz,"03701556"
"03701657",2 - Mittel,Pankow,"03",Südl. Prenzl. Berg,"0370",Prenzl. Berg Süd,"037016",Thälmannpark,"03701657"
"03701658",1 - Niedrig,Pankow,"03",Südl. Prenzl. Berg,"0370",Prenzl. Berg Süd,"037016",Christburger Straße,"03701658"
"03701659",2 - Mittel,Pankow,"03",Südl. Prenzl. Berg,"0370",Prenzl. Berg Süd,"037016",Immanuelkirchstraße,"03701659"
"03701660",1 - Niedrig,Pankow,"03",Südl. Prenzl. Berg,"0370",Prenzl. Berg Süd,"037016",Bötzowstraße,"03701660"
"04100101",3 - Erhöht,Charlottenburg/Wilmersdorf,"04",Charlottenburg Nord,"0410",Charlottenburg Nord,"041001",Jungfernheide/Plötzensee,"04100101"
"04100102",3 - Erhöht,Charlottenburg/Wilmersdorf,"04",Charlottenburg Nord,"0410",Charlottenburg Nord,"041001",Paul-Hertz-Siedlung,"04100102"
"04200203",1 - Niedrig,Charlottenburg/Wilmersdorf,"04",Charlottenburg West,"0420",Heerstraße,"042002",Olympiagelände,"04200203"
"04200204",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg West,"0420",Heerstraße,"042002",Angerburger Allee,"04200204"
"04200205",1 - Niedrig,Charlottenburg/Wilmersdorf,"04",Charlottenburg West,"0420",Heerstraße,"042002",Flatowallee,"04200205"
"04200206",1 - Niedrig,Charlottenburg/Wilmersdorf,"04",Charlottenburg West,"0420",Heerstraße,"042002",Kranzallee,"04200206"
"04200207",1 - Niedrig,Charlottenburg/Wilmersdorf,"04",Charlottenburg West,"0420",Heerstraße,"042002",Eichkamp,"04200207"
"04200308",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg West,"0420",Westend,"042003",Branitzer Platz,"04200308"
"04200309",1 - Niedrig,Charlottenburg/Wilmersdorf,"04",Charlottenburg West,"0420",Westend,"042003",Neu Westend,"04200309"
"04200310",1 - Niedrig,Charlottenburg/Wilmersdorf,"04",Charlottenburg West,"0420",Westend,"042003",Fürstenplatz,"04200310"
"04200311",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg West,"0420",Westend,"042003",Königin-Elisabeth-Straße,"04200311"
"04300412",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Schloss Charlottenburg,"043004",Schlossgarten,"04300412"
"04300413",3 - Erhöht,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Schloss Charlottenburg,"043004",Klausenerplatz,"04300413"
"04300414",1 - Niedrig,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Schloss Charlottenburg,"043004",Schloßstraße,"04300414"
"04300415",1 - Niedrig,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Schloss Charlottenburg,"043004",Lietzensee,"04300415"
"04300416",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Schloss Charlottenburg,"043004",Amtsgerichtsplatz,"04300416"
"04300517",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Mierendorffplatz,"043005",Tegeler Weg,"04300517"
"04300518",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Mierendorffplatz,"043005",Kaiserin-Augusta-Allee,"04300518"
"04300619",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Otto-Suhr-Allee/Kantstraße,"043006",Alt-Lietzow,"04300619"
"04300620",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Otto-Suhr-Allee/Kantstraße,"043006",Spreestadt,"04300620"
"04300621",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Otto-Suhr-Allee/Kantstraße,"043006",Richard-Wagner-Straße,"04300621"
"04300622",3 - Erhöht,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Otto-Suhr-Allee/Kantstraße,"043006",Ernst-Reuter-Platz,"04300622"
"04300623",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Otto-Suhr-Allee/Kantstraße,"043006",Karl-August-Platz,"04300623"
"04300624",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Charlottenburg Zentrum,"0430",Otto-Suhr-Allee/Kantstraße,"043006",Savignyplatz,"04300624"
"04400725",0 - Weitgehend unbewohnte Fläche,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Süd,"0440",Grunewald,"044007",Güterbahnhof Grunewald,"04400725"
"04400726",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Süd,"0440",Grunewald,"044007",Bismarckallee,"04400726"
"04400727",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Süd,"0440",Grunewald,"044007",Flinsberger Platz,"04400727"
"04400728",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Süd,"0440",Grunewald,"044007",Hagenplatz,"04400728"
"04400729",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Süd,"0440",Grunewald,"044007",Hundekehle,"04400729"
"04400830",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Süd,"0440",Schmargendorf,"044008",Forckenbeckstraße,"04400830"
"04400831",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Süd,"0440",Schmargendorf,"044008",Messelpark,"04400831"
